BLOCK_ID,STREET_BLOCK,lat,lng
41522,FILLMORE ST 2200,37.7900066,-122.4339023
41524,FILLMORE ST 2400,37.7917689,-122.4341879
50001,JACKSON ST 100,37.7970989,-122.3983614
50002,JACKSON ST 200,37.7967346,-122.3999102
10903,09TH AVE 300,37.7827927,-122.4676431
11003,10TH AVE 300,37.7827304,-122.4687219
11428,14TH AVE 2800,37.7379624,-122.4690183
33901,BERRY ST 100,37.7734893,-122.3964525
33902,BERRY ST 200,37.775109,-122.394747
41531,FILLMORE ST 3100,37.7982378,-122.4355948
41532,FILLMORE ST 3200,37.79911,-122.4357384
50004,JACKSON ST 400,37.7966327,-122.4018831
50023,JACKSON ST 2300,37.7926875,-122.4329514
20102,01ST ST 200,37.7885514,-122.3960253
35023,CALIFORNIA ST 2300,37.7894729,-122.4324576
35024,CALIFORNIA ST 2400,37.788914,-122.4338765
35421,CHESTNUT ST 2100,37.8008417,-122.4380759
41533,FILLMORE ST 3300,37.7999782,-122.4360446
41805,FOLSOM ST 500,37.7873377,-122.3946506
50228,JONES ST 2800,37.8071494,-122.4172899
20203,02ND ST 300,37.7855433,-122.3967089
35424,CHESTNUT ST 2400,37.8001345,-122.4430571
41903,FRANKLIN ST 300,37.7773775,-122.4211337
41904,FRANKLIN ST 400,37.7787818,-122.4216838
56900,MARKET ST 0,37.7944464,-122.3950207
20205,02ND ST 500,37.782817,-122.3937886
20304,03RD ST 400,37.782201,-122.397332
35902,CLAY ST 200,37.7953923,-122.3980215
35903,CLAY ST 300,37.7954528,-122.399213
42000,FREMONT ST 0,37.791596,-122.3981506
42200,FRONT ST 0,37.7917583,-122.3983794
20305,03RD ST 500,37.7808405,-122.39582
20405,04TH ST 500,37.779267,-122.3981963
35925,CLAY ST 2500,37.7908052,-122.4344391
42203,FRONT ST 300,37.7943014,-122.3989885
44016,GEARY BLVD 1600,37.7849419,-122.4303382
56223,MASON ST 2300,37.804892,-122.4133003
36003,CLEMENT ST 300,37.7830452,-122.4623053
36004,CLEMENT ST 400,37.7831019,-122.4637403
44018,GEARY BLVD 1800,37.7844261,-122.43294
44039,GEARY BLVD 3900,37.7814638,-122.4612534
44040,GEARY BLVD 4000,37.7813837,-122.4623591
52002,KEARNY ST 200,37.8068746,-122.4073888
52003,KEARNY ST 300,37.7909941,-122.4038626
52004,KEARNY ST 400,37.7917036,-122.4042603
21834,18TH ST 3400,37.7618421,-122.4193963
22232,22ND ST 3200,37.7554447,-122.4187761
36007,CLEMENT ST 700,37.7829999,-122.4667697
36009,CLEMENT ST 900,37.782956,-122.468893
44041,GEARY BLVD 4100,37.7812691,-122.4633654
44043,GEARY BLVD 4300,37.781245,-122.4655876
44044,GEARY BLVD 4400,37.7809899,-122.4664541
54627,LEAVENWORTH ST 2700,37.8062701,-122.4188244
22333,23RD ST 3300,37.7538448,-122.4186305
32402,BATTERY ST 200,37.7932277,-122.3999902
38001,DAVIS ST 100,37.7935285,-122.3976286
44206,GOLDEN GATE AVE 600,37.7810303,-122.4205431
44207,GOLDEN GATE AVE 700,37.780976,-122.4224178
56303,MCALLISTER ST 300,37.7804954,-122.4170096
56304,MCALLISTER ST 400,37.7805277,-122.4192514
32503,BAY ST 300,37.8062684,-122.4128939
38432,DIVISADERO ST 3200,37.7994348,-122.442752
38601,DRUMM ST 100,37.79487,-122.3962915
44304,GOUGH ST 400,37.7768946,-122.4230148
44600,GROVE ST 0,37.7788979,-122.4149679
44601,GROVE ST 100,37.7784928,-122.41827
54016,LAGUNA ST 1600,37.7857908,-122.4281731
32605,BEACH ST 500,37.8072138,-122.4178928
38603,DRUMM ST 300,37.7963964,-122.3970155
41103,FELL ST 300,37.7759646,-122.4228279
44721,GREENWICH ST 2100,37.7991708,-122.4342647
44722,GREENWICH ST 2200,37.7989651,-122.4359102
46300,HAWTHORNE ST 0,37.7858887,-122.399368
46301,HAWTHORNE ST 100,37.7846701,-122.3978296
54922,LOMBARD ST 2200,37.7998053,-122.4379672
56000,MALLORCA WAY 0,37.8007037,-122.4373181
32607,BEACH ST 700,37.806661,-122.4205706
32800,BEALE ST 0,37.7923622,-122.3973552
33002,BRANNAN ST 200,37.7837501,-122.3908424
46403,HAYES ST 300,37.7772174,-122.4213867
46404,HAYES ST 400,37.7768882,-122.4230275
56305,MCALLISTER ST 500,37.7800847,-122.420339
33003,BRANNAN ST 300,37.7818412,-122.3925962
33103,BRYANT ST 300,37.7849397,-122.3912572
41514,FILLMORE ST 1400,37.7823651,-122.4325459
47000,HOWARD ST 0,37.7923584,-122.3912384
84400,HOWARD ST 0,37.7923584,-122.3912384
20201,02ND ST 100,37.7881723,-122.4000147
36005,CLEMENT ST 500,37.7831179,-122.4646008
41322,FILBERT ST 2200,37.7980291,-122.4357233
41510,FILLMORE ST 1000,37.7786539,-122.4317802
56224,MASON ST 2400,37.8056415,-122.4136256
41521,FILLMORE ST 2100,37.7891109,-122.4336455
47300,HOFF ST 0,37.7649951,-122.4205981
50000,JACKSON ST 0,37.7972325,-122.3971758
33430,BUCHANAN ST 3000,37.7975177,-122.4322251
33603,BUSH ST 300,37.7909755,-122.4024313
41529,FILLMORE ST 2900,37.7961685,-122.4353266
50003,JACKSON ST 300,37.7967874,-122.4007038
50024,JACKSON ST 2400,37.792478,-122.4345999
50101,JESSIE ST 100,37.7884439,-122.4003746
20100,01ST ST 0,37.7910492,-122.3991645
20200,02ND ST 0,37.7892687,-122.4014241
50226,JONES ST 2600,37.8052367,-122.4169083
50227,JONES ST 2700,37.8061699,-122.4170951
52000,KEARNY ST 0,37.7879767,-122.4035082
20204,02ND ST 400,37.7838882,-122.3954088
35901,CLAY ST 100,37.7954817,-122.3968481
57100,MONTGOMERY ST 0,37.7891114,-122.4020388
20207,02ND ST 700,37.7802517,-122.3904832
35905,CLAY ST 500,37.7948558,-122.4015241
42202,FRONT ST 200,37.7933755,-122.3988067
54029,LAGUNA ST 2900,37.7977247,-122.4305814
54201,LARKIN ST 100,37.7789562,-122.4158888
54202,LARKIN ST 200,37.7802622,-122.4160294
20307,03RD ST 700,37.7788511,-122.3927632
44017,GEARY BLVD 1700,37.7846314,-122.4313195
44037,GEARY BLVD 3700,37.7818182,-122.4591968
52401,KING ST 100,37.779976,-122.3899346
36008,CLEMENT ST 800,37.7829633,-122.4678211
36312,COLUMBUS AVE 1200,37.8052078,-122.417178
36313,COLUMBUS AVE 1300,37.806587,-122.4180126
44045,GEARY BLVD 4500,37.7809434,-122.4675232
54230,LARKIN ST 3000,37.8057188,-122.4219119
54628,LEAVENWORTH ST 2800,37.8074236,-122.4189055
54700,LECH WALESA ST 0,37.7779885,-122.4181741
54920,LOMBARD ST 2000,37.8001007,-122.4345287
30500,AVILA ST 0,37.8003202,-122.4403346
37001,CAPP ST 100,37.7651048,-122.418723
44302,GOUGH ST 200,37.7750244,-122.4226229
56225,MASON ST 2500,37.8072961,-122.4129242
56226,MASON ST 2600,37.8075059,-122.4140021
38003,DAVIS ST 300,37.7953511,-122.398003
38600,DRUMM ST 0,37.7937713,-122.3963782
44303,GOUGH ST 300,37.7762533,-122.4225513
52402,KING ST 200,37.7783025,-122.3925639
54015,LAGUNA ST 1500,37.7855185,-122.4273479
41102,FELL ST 200,37.776164,-122.4211663
54921,LOMBARD ST 2100,37.7998947,-122.4360847
54923,LOMBARD ST 2300,37.7996339,-122.4395266
41511,FILLMORE ST 1100,37.7798911,-122.4317277
46400,HAYES ST 0,37.7777515,-122.4164152
56801,MISSION ST 100,37.7925462,-122.394514
56806,MISSION ST 600,37.7880115,-122.3998241
41515,FILLMORE ST 1500,37.7835633,-122.4324574
46700,HICKORY ST 0,37.7758888,-122.4195133
46701,HICKORY ST 100,37.7757041,-122.4210714
41321,FILBERT ST 2100,37.7982383,-122.4340717
33005,BRANNAN ST 500,37.7783017,-122.3968833
33104,BRYANT ST 400,37.7831139,-122.3937144
33418,BUCHANAN ST 1800,37.7865234,-122.4299923
58509,NORTH POINT ST 900,37.8053923,-122.4235114
59227,OCTAVIA ST 2700,37.7970094,-122.4287559
33429,BUCHANAN ST 2900,37.7965897,-122.4320341
33602,BUSH ST 200,37.7912937,-122.4010389
41800,FOLSOM ST 0,37.7905854,-122.3903557
57104,MONTGOMERY ST 400,37.7931409,-122.4025849
57105,MONTGOMERY ST 500,37.7939255,-122.4027911
58001,NATOMA ST 100,37.7872163,-122.3988281
33903,BERRY ST 300,37.77393,-122.396241
